學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,在學學生數小計,在學學生數男,在學學生數女
109,私立,一般大學,1003,東吳大學,02151001,音樂學系,學士班(日間),256,69,187
109,私立,一般大學,1003,東吳大學,02151001,音樂學系,碩士班(日間),51,12,39
109,私立,一般大學,1003,東吳大學,02151001,音樂學系,碩士在職專班,8,3,5
109,私立,一般大學,1003,東吳大學,02221006,歷史學系,學士班(日間),249,135,114
109,私立,一般大學,1003,東吳大學,02221006,歷史學系,碩士班(日間),13,7,6
109,私立,一般大學,1003,東吳大學,02231007,哲學系,學士班(日間),218,97,121
109,私立,一般大學,1003,東吳大學,02231007,哲學系,碩士班(日間),34,15,19
109,私立,一般大學,1003,東吳大學,02311004,英文學系,學士班(日間),709,205,504
109,私立,一般大學,1003,東吳大學,02311004,英文學系,學士班(進修),183,59,124
109,私立,一般大學,1003,東吳大學,02311005,日本語文學系,學士班(日間),829,226,603
109,私立,一般大學,1003,東吳大學,02311005,日本語文學系,學士班(進修),462,164,298
109,私立,一般大學,1003,東吳大學,02311005,日本語文學系,碩士班(日間),42,16,26
109,私立,一般大學,1003,東吳大學,02311005,日本語文學系,碩士在職專班,30,7,23
109,私立,一般大學,1003,東吳大學,02311005,日本語文學系,博士班,25,8,17
109,私立,一般大學,1003,東吳大學,02311012,德國文化學系,學士班(日間),267,55,212
109,私立,一般大學,1003,東吳大學,02311012,德國文化學系,碩士班(日間),23,2,21
109,私立,一般大學,1003,東吳大學,02312004,英文學系翻譯碩士班,碩士班(日間),24,5,19
109,私立,一般大學,1003,東吳大學,02322002,中國文學系,學士班(日間),687,179,508
109,私立,一般大學,1003,東吳大學,02322002,中國文學系,學士班(進修),144,50,94
109,私立,一般大學,1003,東吳大學,02322002,中國文學系,碩士班(日間),61,24,37
109,私立,一般大學,1003,東吳大學,02322002,中國文學系,碩士在職專班,22,8,14
109,私立,一般大學,1003,東吳大學,02322002,中國文學系,博士班,34,17,17
109,私立,一般大學,1003,東吳大學,03111008,經濟學系,學士班(日間),711,343,368
109,私立,一般大學,1003,東吳大學,03111008,經濟學系,碩士班(日間),32,16,16
109,私立,一般大學,1003,東吳大學,03111008,經濟學系,碩士在職專班,31,17,14
109,私立,一般大學,1003,東吳大學,03111008,經濟學系,博士班,19,11,8
109,私立,一般大學,1003,東吳大學,03121009,政治學系,學士班(日間),459,195,264
109,私立,一般大學,1003,東吳大學,03121009,政治學系,碩士班(日間),25,17,8
109,私立,一般大學,1003,東吳大學,03121009,政治學系,博士班,10,7,3
109,私立,一般大學,1003,東吳大學,03131011,心理學系,學士班(日間),291,62,229
109,私立,一般大學,1003,東吳大學,03131011,心理學系,碩士班(日間),99,30,69
109,私立,一般大學,1003,東吳大學,03141010,社會學系,學士班(日間),464,169,295
109,私立,一般大學,1003,東吳大學,03141010,社會學系,碩士班(日間),24,13,11
109,私立,一般大學,1003,東吳大學,03141010,社會學系,碩士在職專班,23,5,18
109,私立,一般大學,1003,東吳大學,03199013,人權碩士學位學程,碩士班(日間),29,9,20
109,私立,一般大學,1003,東吳大學,04111015,會計學系,學士班(日間),966,359,607
109,私立,一般大學,1003,東吳大學,04111015,會計學系,碩士班(日間),70,28,42
109,私立,一般大學,1003,東吳大學,04111015,會計學系,碩士在職專班,83,31,52
109,私立,一般大學,1003,東吳大學,04121027,財務工程與精算數學系,學士班(日間),736,395,341
109,私立,一般大學,1003,東吳大學,04121027,財務工程與精算數學系,碩士班(日間),48,24,24
109,私立,一般大學,1003,東吳大學,04121027,財務工程與精算數學系,碩士在職專班,17,11,6
109,私立,一般大學,1003,東吳大學,04131016,企業管理學系,學士班(日間),935,337,598
109,私立,一般大學,1003,東吳大學,04131016,企業管理學系,碩士班(日間),114,51,63
109,私立,一般大學,1003,東吳大學,04131016,企業管理學系,碩士在職專班,91,30,61
109,私立,一般大學,1003,東吳大學,04131020,商學院EMBA高階經營碩士在職專班,碩士在職專班,58,31,27
109,私立,一般大學,1003,東吳大學,04141019,國際經營與貿易學系,學士班(日間),525,178,347
109,私立,一般大學,1003,東吳大學,04141019,國際經營與貿易學系,碩士班(日間),38,12,26
109,私立,一般大學,1003,東吳大學,04141019,國際經營與貿易學系,碩士在職專班,39,16,23
109,私立,一般大學,1003,東吳大學,04191014,商學進修學士班,學士班(進修),208,86,122
109,私立,一般大學,1003,東吳大學,04199031,巨量資料管理學院碩士在職學位學程,碩士在職專班,148,86,62
109,私立,一般大學,1003,東吳大學,04199031,巨量資料管理學院碩士學位學程,碩士班(日間),31,20,11
109,私立,一般大學,1003,東吳大學,04199031,巨量資料管理學院學士學位學程,學士班(日間),360,210,150
109,私立,一般大學,1003,東吳大學,04199032,巨量資料分析學士後多元專長培力課程專班,學士班(日間),2,2,0
109,私立,一般大學,1003,東吳大學,04211021,法律學系,學士班(日間),1227,483,744
109,私立,一般大學,1003,東吳大學,04211021,法律學系,碩士班(日間),287,163,124
109,私立,一般大學,1003,東吳大學,04211021,法律學系,碩士在職專班,512,227,285
109,私立,一般大學,1003,東吳大學,04211021,法律學系,博士班,29,20,9
109,私立,一般大學,1003,東吳大學,04211021,法律學系中國大陸法律碩士在職專班,碩士在職專班,99,54,45
109,私立,一般大學,1003,東吳大學,04211021,法律學系法律專業碩士班,碩士班(日間),114,58,56
109,私立,一般大學,1003,東吳大學,05122022,微生物學系,學士班(日間),212,78,134
109,私立,一般大學,1003,東吳大學,05122022,微生物學系,碩士班(日間),15,8,7
109,私立,一般大學,1003,東吳大學,05122022,微生物學系,博士班,1,1,0
109,私立,一般大學,1003,東吳大學,05311023,化學系,學士班(日間),213,120,93
109,私立,一般大學,1003,東吳大學,05311023,化學系,碩士班(日間),5,1,4
109,私立,一般大學,1003,東吳大學,05331024,物理學系,學士班(日間),195,138,57
109,私立,一般大學,1003,東吳大學,05411025,數學系,學士班(日間),201,135,66
109,私立,一般大學,1003,東吳大學,05411025,數學系,碩士班(日間),16,15,1
109,私立,一般大學,1003,東吳大學,06131028,資訊管理學系,學士班(日間),499,280,219
109,私立,一般大學,1003,東吳大學,06131028,資訊管理學系,碩士班(日間),30,15,15
109,私立,一般大學,1003,東吳大學,06131028,資訊管理學系,碩士在職專班,44,33,11
109,私立,一般大學,1003,東吳大學,09231030,社會工作學系,學士班(日間),549,163,386
109,私立,一般大學,1003,東吳大學,09231030,社會工作學系,碩士班(日間),69,16,53
